Symulation time|Real time|People who come|People in queue(first/second)|People who left|Transported People
25100|(6, 58, 20)|0|[0, 0]|0|0
25101|(6, 58, 21)|0|[0, 0]|0|0
25102|(6, 58, 22)|0|[0, 0]|0|0
25103|(6, 58, 23)|0|[0, 0]|0|0
25104|(6, 58, 24)|1|[1, 0]|0|0
25105|(6, 58, 25)|0|[1, 0]|0|0
25106|(6, 58, 26)|1|[1, 1]|0|0
25107|(6, 58, 27)|0|[1, 1]|0|0
25108|(6, 58, 28)|0|[1, 1]|0|0
25109|(6, 58, 29)|0|[1, 1]|0|0
25110|(6, 58, 30)|1|[1, 2]|0|0
25111|(6, 58, 31)|1|[1, 3]|0|0
25112|(6, 58, 32)|0|[1, 3]|0|0
25113|(6, 58, 33)|1|[2, 3]|0|0
25114|(6, 58, 34)|0|[2, 3]|0|0
25115|(6, 58, 35)|0|[2, 3]|0|0
25116|(6, 58, 36)|0|[2, 3]|0|0
25117|(6, 58, 37)|0|[2, 3]|0|0
25118|(6, 58, 38)|0|[2, 3]|0|0
25119|(6, 58, 39)|1|[2, 4]|0|0
25120|(6, 58, 40)|0|[2, 4]|0|0
25121|(6, 58, 41)|1|[3, 4]|0|0
25122|(6, 58, 42)|0|[3, 4]|0|0
25123|(6, 58, 43)|0|[3, 4]|0|0
25124|(6, 58, 44)|1|[4, 4]|0|0
25125|(6, 58, 45)|0|[4, 4]|0|0
25126|(6, 58, 46)|0|[4, 4]|0|0
25127|(6, 58, 47)|0|[4, 4]|0|0
25128|(6, 58, 48)|0|[4, 4]|0|0
25129|(6, 58, 49)|1|[5, 4]|0|0
25130|(6, 58, 50)|0|[5, 4]|0|0
25131|(6, 58, 51)|0|[5, 4]|0|0
25132|(6, 58, 52)|0|[5, 4]|0|0
25133|(6, 58, 53)|0|[5, 4]|0|0
25134|(6, 58, 54)|0|[5, 4]|0|0
25135|(6, 58, 55)|0|[5, 4]|0|0
25136|(6, 58, 56)|0|[5, 4]|0|0
25137|(6, 58, 57)|0|[5, 4]|0|0
25138|(6, 58, 58)|0|[5, 4]|0|0
25139|(6, 58, 59)|0|[5, 4]|0|0
25140|(6, 59, 0)|0|[5, 4]|0|0
25141|(6, 59, 1)|0|[5, 4]|0|0
25142|(6, 59, 2)|0|[5, 4]|0|0
25143|(6, 59, 3)|0|[5, 4]|0|0
25144|(6, 59, 4)|0|[5, 4]|0|0
25145|(6, 59, 5)|1|[6, 4]|0|0
25146|(6, 59, 6)|1|[6, 5]|0|0
25147|(6, 59, 7)|0|[6, 5]|0|0
25148|(6, 59, 8)|0|[6, 5]|0|0
25149|(6, 59, 9)|0|[6, 5]|0|0
25150|(6, 59, 10)|0|[6, 5]|0|0
25151|(6, 59, 11)|0|[6, 5]|0|0
25152|(6, 59, 12)|0|[6, 5]|0|0
25153|(6, 59, 13)|0|[6, 5]|0|0
25154|(6, 59, 14)|0|[6, 5]|0|0
25155|(6, 59, 15)|1|[6, 6]|0|0
25156|(6, 59, 16)|0|[6, 6]|0|0
25157|(6, 59, 17)|1|[6, 7]|0|0
25158|(6, 59, 18)|0|[6, 7]|0|0
25159|(6, 59, 19)|0|[6, 7]|0|0
25160|(6, 59, 20)|1|[6, 8]|0|0
25161|(6, 59, 21)|0|[6, 8]|0|0
25162|(6, 59, 22)|0|[6, 8]|0|0
25163|(6, 59, 23)|0|[6, 8]|0|0
25164|(6, 59, 24)|0|[6, 8]|0|0
25165|(6, 59, 25)|0|[6, 8]|0|0
25166|(6, 59, 26)|0|[6, 8]|0|0
25167|(6, 59, 27)|0|[6, 8]|0|0
25168|(6, 59, 28)|0|[6, 8]|0|0
25169|(6, 59, 29)|0|[6, 8]|0|0
25170|(6, 59, 30)|1|[7, 8]|0|0
